Event name,Date,Start Time,End Time,Artists,Venue,Event URL,Number of guests attending
Rinse Summer Terrace Series - 21st August,2025-08-21T00:00:00.000,2025-08-21T18:00:00.000,2025-08-22T00:00:00.000,"Lady Shaka, Tim Reaper, Scratcha, Just Jane, Silva Snipa, NORA (BR)",Night Tales,/events/2215422,1052
DESIRE - Weekly Thursday After Party - ELISA NAU,2025-08-21T00:00:00.000,2025-08-21T23:59:00.000,2025-08-22T07:00:00.000,"Duwat?, Simone Sim, Diana Loredana, Elisa Nau.","Union Club, Vauxhall",/events/2231715,63
Pleasureroom X Sunday Afters After Hours ,2025-08-17T00:00:00.000,2025-08-17T06:00:00.000,2025-08-24T18:00:00.000,"LUUD, Ohm Hourani, Celestra, MYRIAM, Billa Bazz",TBA - CENTRAL LONDON LOCATION,/events/2238319,14
Thirsty Thursdays: Grace Sands & DJ Sugarbear,2025-08-21T00:00:00.000,2025-08-21T19:00:00.000,2025-08-22T01:00:00.000,Grace Sands,The Marquee Moon,/events/2228239,12
Strictly Vinyl free Thursdays,2025-08-21T00:00:00.000,2025-08-21T18:00:00.000,2025-08-21T23:59:00.000,,26 Curtain Road,/events/2230219,13
"SACRIFICE ZONE : Mica Levi,  JOSEF KURTZ, Elvin Brandhi, Mobbs & susu laroche",2025-08-21T00:00:00.000,2025-08-21T19:00:00.000,2025-08-22T02:00:00.000,"Elvin Brandhi, Mica Levi, JOSEF KURTZ, Mobbs, susu laroche, Mike Levitt",Ormside Projects,/events/2214659,403
FREAKQUENCY - Free party in Dalston,2025-08-21T00:00:00.000,2025-08-21T20:00:00.000,2025-08-22T01:00:00.000,Shy Shy,Club Makossa,/events/2217168,296
"Insomnia London: Memory Muscle, Dial-3MMA , Ya Boi Hank, Half cab w/ Illustrate, LUX",2025-08-21T00:00:00.000,2025-08-21T23:59:00.000,2025-08-22T04:00:00.000,"Memory Muscle, DJelley, Vanity Project, Half cab, LUX (uk)",Corsica Studios,/events/2165418,150
Low End: Free Dubstep Rave,2025-08-21T00:00:00.000,2025-08-21T21:00:00.000,2025-08-22T02:00:00.000,"RIZ LA TEEF, Nancy June, Akira (Buntai), ohmydais, No-Angel",Hootananny Brixton,/events/2202274,88
Underground Tribe x Jika: Gallery Takeover | DJ Competition Open Deck,2025-08-21T00:00:00.000,2025-08-21T19:00:00.000,2025-08-22T02:00:00.000,,Kiss The Sky,/events/2230759,68
CLUB INDGO,2025-08-21T00:00:00.000,2025-08-21T19:00:00.000,2025-08-22T01:00:00.000,"CLUB INDGO, LYAM, Sticky Dub",The Social,/events/2221732,57
Malur presents... Heaven on Hertz,2025-08-21T00:00:00.000,2025-08-21T20:00:00.000,2025-08-22T01:00:00.000,"Malur, babydj",The Haggerston,/events/2236964,62
Any Mega Mercy (debut),2025-08-21T00:00:00.000,2025-08-21T19:30:00.000,2025-08-21T23:59:00.000,,Avalon Cafe Bermondsey,/events/2231448,54
Circuit Sounds Selects: Anny,2025-08-21T00:00:00.000,2025-08-21T19:00:00.000,2025-08-21T23:00:00.000,"Anny (UK), Chaos Shaman",Bricks,/events/2223604,42
Astra Pentaxia Single Release Party,2025-08-21T00:00:00.000,2025-08-21T20:00:00.000,2025-08-22T00:30:00.000,,Corner New Cross,/events/2229086,23
Only Rave Handles presents: Handle Your Business,2025-08-21T00:00:00.000,2025-08-21T18:00:00.000,2025-08-22T00:00:00.000,"Dwarde, Drime",Planet Wax,/events/2221270,13
YOUR MUM'S HOUSE,2025-08-21T00:00:00.000,2025-08-21T22:30:00.000,2025-08-22T03:00:00.000,,XOYO,/events/2160740,12
Gallery presents: DJ Melech,2025-08-21T00:00:00.000,2025-08-21T22:00:00.000,2025-08-22T03:00:00.000,DJ Melech,Gallery,/events/2195156,15
THE FLIGHTPATH ESTATE DJs + Richard Fearless at Stranger Than Paradise Records E8 4RU,2025-08-21T00:00:00.000,2025-08-21T19:00:00.000,2025-08-21T23:59:00.000,Richard Fearless,Stranger Than Paradise Records,/events/2236825,9
Reggaeton & Dembow After Party @ Bar Salsa Soho Central London,2025-08-21T00:00:00.000,2025-08-21T22:00:00.000,2025-08-22T02:00:00.000,,Bar Salsa Soho,/events/2202730,7
Thursday Social,2025-08-21T00:00:00.000,2025-08-21T19:00:00.000,2025-08-22T04:00:00.000,,Rolling Stock,/events/2228150,9
POST WORK POP PARTY,2025-08-21T00:00:00.000,2025-08-21T17:00:00.000,2025-08-22T00:00:00.000,,Boxpark Shoreditch,/events/2182856,4
LONDON OPEN DECKS,2025-08-21T00:00:00.000,2025-08-21T17:00:00.000,2025-08-21T22:00:00.000,,Carbobar,/events/2228320,7
Soulful Strut,2025-08-21T00:00:00.000,2025-08-21T18:00:00.000,2025-08-22T03:00:00.000,,Ridley Road Market Bar,/events/2217410,3
RnB Thursdays,2025-08-21T00:00:00.000,2025-08-21T20:00:00.000,2025-08-22T02:00:00.000,,Prince of Peckham,/events/2219102,2
Thursday Night At City Of Quebec Club,2025-08-21T00:00:00.000,2025-08-21T23:00:00.000,2025-08-22T03:00:00.000,DJ LIL-E,City Of Quebec,/events/2233734,3
Spaghetti Western Rock and Roll at Post Bar,2025-08-16T00:00:00.000,2025-08-16T20:00:00.000,2025-08-24T01:30:00.000,,The Post Bar Tottenham,/events/2238256,3
The Arm presents: The Art of Conversation with DJ SPOONY,2025-08-21T00:00:00.000,2025-08-21T18:30:00.000,2025-08-22T01:00:00.000,,The Sanctum Hotel,/events/2188635,2
The Rebel Iris Presents: Rumbelicious - Pre-Carnival Warm Up,2025-08-21T00:00:00.000,2025-08-21T17:00:00.000,2025-08-22T01:00:00.000,,"TBA - The Rum Bar Camden, 6 Inverness Street, NW1 7HJ",/events/2230505,1
Harrison,2025-08-21T00:00:00.000,2025-08-21T18:00:00.000,2025-08-21T22:00:00.000,Harrison (UK),The Broadcaster,/events/2234051,1
Flat Iron Square - Live DJ's,2025-07-24T00:00:00.000,2025-07-24T16:00:00.000,2025-08-21T23:00:00.000,,Flat Iron Square,/events/2241424,2
KOKO Electronic: Dombresky,2025-08-22T00:00:00.000,2025-08-22T22:00:00.000,2025-08-23T05:00:00.000,"Dombresky, Melon Bomb, CHANEY, Arnie Wrong",KOKO,/events/2196539,971
OGUZ & NEEK,2025-08-22T00:00:00.000,2025-08-22T20:00:00.000,2025-08-23T08:00:00.000,"OGUZ, STEYA, La Penderie Noire, Lezcano, Jack Jeffrey, Lau.tastic, KIM HUNTER, Dres Codex, KASTILO, Cage (1)",E1,/events/2204380,918
Laurent Garnier at The Tate – {PAIRED} VIII - Sold Out,2025-08-22T00:00:00.000,2025-08-22T21:30:00.000,2025-08-23T02:00:00.000,Laurent Garnier,Tate Modern,/events/2207746,687
"FABRICLIVE x Piano People Afterparty: 2wobunnies, DJ LAG, Oscar Mbo + many more",2025-08-22T00:00:00.000,2025-08-22T23:00:00.000,2025-08-23T06:00:00.000,"DJ LAG, Supa D, Meedy, Robin M, Shamiso, BABY JACKZ, Tazz",fabric,/events/2187075,678
Origins: Sandwell District (Extended Set) & Livid,2025-08-22T00:00:00.000,2025-08-22T23:00:00.000,2025-08-23T06:00:00.000,"Sandwell District, Function, Regis, Livid (UK)",FOLD,/events/2139548,589
The Cause // In Bloom: Slippery Slopes with Ehua b2b Beatrice M. (Limited Free Tickets),2025-08-22T00:00:00.000,2025-08-22T20:00:00.000,2025-08-23T02:00:00.000,"Ehua, Beatrice M., Joe Murphy",Vittoria Wharf Studio,/events/2225458,579
Piano People in the Park,2025-08-22T00:00:00.000,2025-08-22T14:00:00.000,2025-08-22T22:30:00.000,"Kabza De Small, DBN Gogo, Kelvin Momo, Shamiso, Charisse C, CLEIDO",Southwark Park,/events/2146452,463
" Gemini Gemini: Halogenix, Breakage, SP:MC, Satl, Amoss",2025-08-22T00:00:00.000,2025-08-22T22:00:00.000,2025-08-23T04:00:00.000,"Halogenix, Breakage, SP:MC, Satl, Amoss",Phonox,/events/2192888,373
Night Tales: Mason Collective,2025-08-22T00:00:00.000,2025-08-22T19:00:00.000,2025-08-23T03:00:00.000,Mason Collective,Night Tales,/events/2047618,349
Channel One Sound SYSTEM CARNIVAL SPECIAL: SISTER NANCY MEETS LEGAL SHOT,2025-08-22T00:00:00.000,2025-08-22T23:00:00.000,2025-08-23T05:00:00.000,Channel One Sound,Village Underground,/events/2087215,201
Studio Crumb 034 (Carnival Warm-Up) - Haseeb Iqbal - All Night Long,2025-08-22T00:00:00.000,2025-08-22T22:00:00.000,2025-08-23T03:00:00.000,Haseeb Iqbal,Bunker Club,/events/2225721,198
Manfredas - All Night Long,2025-08-22T00:00:00.000,2025-08-22T23:00:00.000,2025-08-23T04:00:00.000,Manfredas,The Carpet Shop,/events/2190488,200
"Toy Tonics Residency: Italomania pt2 with Lele Sacchi, Kapote, Stump Valley (Fri 22nd August)",2025-08-22T00:00:00.000,2025-08-22T22:30:00.000,2025-08-23T03:00:00.000,"Kapote, Lele Sacchi, Stump Valley",The Jazz Cafe,/events/2168569,177
"NT's Loft: Low Life presents Bill Brewster, Frank Broughton, Sarahtonin & Ray Mang",2025-08-22T00:00:00.000,2025-08-22T17:00:00.000,2025-08-23T02:30:00.000,"Bill Brewster, Frank Broughton, Sarahtonin, Ray Mang",Night Tales Loft,/events/2211847,178
"Spaced ~ Last Of The Summer Wine: Seb Odyssey & Toby, Loren & T. Jacques, Mother Earth",2025-08-22T00:00:00.000,2025-08-22T22:00:00.000,2025-08-23T04:00:00.000,"Seb Odyssey, Toby Nicholas, Loren Heer, T. Jacques, Mother Earth",NUMBER 90 LONDON,/events/2237761,133
"all my thoughts with SAKURA TSURUTA (Live), 1-800 GIRLS + more",2025-08-22T00:00:00.000,2025-08-22T18:30:00.000,2025-08-23T01:00:00.000,"SAKURA TSURUTA, 1-800 GIRLS, Blossom Hill",The Glove That Fits,/events/2191709,131
Egg LDN Pres: Carnival Special Weekender PT1 - Free Party,2025-08-22T00:00:00.000,2025-08-22T23:00:00.000,2025-08-23T06:00:00.000,,Egg London,/events/2209711,115
Slimelight feat Ziber,2025-08-22T00:00:00.000,2025-08-22T22:00:00.000,2025-08-23T05:00:00.000,"Radondo, Ricardo Castro, Glotzer, Steve Weeks",Electrowerkz,/events/2228145,144
Breathe x Night Tales - Arch 14,2025-08-22T00:00:00.000,2025-08-22T23:00:00.000,2025-08-23T03:00:00.000,"Gefra, Mary X, Colaps, Zeth",Arch 14,/events/2222978,107
"Bass Face // LDN // DNB, HOUSE:TECHNO, UKG",2025-08-22T00:00:00.000,2025-08-22T23:00:00.000,2025-08-23T05:00:00.000,,Lightbox,/events/2181011,94
Ransom Note present Mafalda,2025-08-22T00:00:00.000,2025-08-22T20:00:00.000,2025-08-23T01:00:00.000,"Mafalda, Ally Tropical, Matt Cowell",The Social,/events/2207448,82
Night Tube Bank Holiday Special,2025-08-22T00:00:00.000,2025-08-22T19:00:00.000,2025-08-23T01:00:00.000,,Next Door Records Two,/events/2213578,63
Starlane presents: Road To Trotamundo,2025-08-22T00:00:00.000,2025-08-22T22:00:00.000,2025-08-23T10:00:00.000,"Kev Gee, KT, Log _In, Mario Liberti",Starlane Pizza Bar,/events/2225193,52
Mui Mui Records on the Terrace,2025-08-22T00:00:00.000,2025-08-22T18:00:00.000,2025-08-22T22:00:00.000,"E. Alexander, Karis.",Arch 14,/events/2217969,47
"Smoove: Masterstepz, Maximum, Rampage, Donch + more",2025-08-22T00:00:00.000,2025-08-22T22:00:00.000,2025-08-23T05:00:00.000,"Rampage, Donch, Supa D, European 305, AAA",Ministry Of Sound,/events/2178298,43
Zuku: The Darrs & Residents,2025-08-22T00:00:00.000,2025-08-22T18:00:00.000,2025-08-23T02:00:00.000,"The Darrs, Tarde Loco, Dig This",The Lion and Lamb,/events/2220036,41
FREE TICKETS - Pop & RnB - All Night Long,2025-08-22T00:00:00.000,2025-08-22T23:00:00.000,2025-08-23T05:00:00.000,,Lightbox,/events/2226108,28
FZN presents: Diaspora Music,2025-08-22T00:00:00.000,2025-08-22T22:00:00.000,2025-08-23T04:00:00.000,,Brixton Jamm,/events/2239150,38
City Splash x Dream WKND Carnival Warm Up Party,2025-08-22T00:00:00.000,2025-08-22T23:00:00.000,2025-08-23T06:00:00.000,,E1,/events/2195297,18
"BAILE WORLD UK: Sonia Sol, Poppa Jax, Ryan Lovell, Baby Cocada, Keke",2025-08-22T00:00:00.000,2025-08-22T22:00:00.000,2025-08-23T03:30:00.000,"Cquestt, Poppa Jax, Ryan Lovell, Baby Cocada",EartH,/events/2234666,21
Pleasureroom X Sunday Afters After Hours ,2025-08-17T00:00:00.000,2025-08-17T06:00:00.000,2025-08-24T18:00:00.000,"LUUD, Ohm Hourani, Celestra, MYRIAM, Billa Bazz",TBA - CENTRAL LONDON LOCATION,/events/2238319,14
DJ Semtex [Capital Xtra]: 2000s R&B Gems,2025-08-22T00:00:00.000,2025-08-22T21:00:00.000,2025-08-23T02:00:00.000,,The Old Queens Head,/events/2196770,12
Apron x Dickies After Party,2025-08-22T00:00:00.000,2025-08-22T21:00:00.000,2025-08-23T03:00:00.000,,The Haggerston,/events/2238693,5
Terminal 1 & Bonita Worldwide: Dub vs Cumbia,2025-08-22T00:00:00.000,2025-08-22T20:00:00.000,2025-08-23T01:30:00.000,,Queen Elizabeth Hall Foyer,/events/2222262,0
TOAST,2025-08-22T00:00:00.000,2025-08-22T23:00:00.000,2025-08-23T03:00:00.000,,Tola,/events/2240128,2
DIY Fridays - Deep House & Minimal,2025-08-22T00:00:00.000,2025-08-22T19:00:00.000,2025-08-23T00:00:00.000,,Two More Years,/events/2240871,0
Night Slugs & Einhundert,2025-08-22T00:00:00.000,2025-08-22T23:00:00.000,2025-08-23T06:00:00.000,"Architect (2), Lil C, Bok Bok, Nico Adomako, EQUISS, OSSX, foreigner, Nativesun, Black Rave Culture, Hanaby, KANUCIA, Hitmakerchinx",Ormside Projects,/events/2225181,186
HEATED'S PRE-CARNI PARTY,2025-08-22T00:00:00.000,2025-08-22T23:00:00.000,2025-08-23T05:00:00.000,"MOYA_, Chidera O, Kabir, Bushbby",M.O.T,/events/2196999,165
"grounded x Organics w. LO-LOW, Delay Grounds, Aphelion, Occyx",2025-08-22T00:00:00.000,2025-08-22T22:00:00.000,2025-08-23T04:00:00.000,"LO-LOW, Delay Grounds, Paul McManamon",The Greyhound,/events/2214662,109
VO!D D!SCO [ONE YEAR ANNIVERSARY]: Balrog (Khazad Records / Soma) - Limited Free Tickets,2025-08-22T00:00:00.000,2025-08-22T22:00:00.000,2025-08-23T03:00:00.000,"Balrog, Jane Darke, JON KRIEGER",Sui Generis,/events/2209539,95
KUTTA RUG at MEZZANINE [FREE EVENT!],2025-08-22T00:00:00.000,2025-08-22T20:00:00.000,2025-08-23T02:00:00.000,,Mezzanine - Tooting,/events/2220349,92
Rabbithole Rave-io,2025-08-22T00:00:00.000,2025-08-22T21:00:00.000,2025-08-23T03:00:00.000,,Dalston Den,/events/2223795,116
